"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143","Create User with Russian characters","","Wed Aug 13 15:39:50 GMT 2025","passed","Wed Aug 13 15:39:50 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","createNewUserWithRussianCharacters"
"","82","Get Available Meeting Time slots","","Wed Aug 13 15:39:51 GMT 2025","passed","Wed Aug 13 15:39:51 GMT 2025","","doodle.qa.api.regression.tests.CalendarApiTest","doodle.qa.api.regression.tests.CalendarApiTest","getMeetingSlots"
"","84","Get All Meetings","","Wed Aug 13 15:39:51 GMT 2025","passed","Wed Aug 13 15:39:51 GMT 2025","","doodle.qa.api.regression.tests.CalendarApiTest","doodle.qa.api.regression.tests.CalendarApiTest","getAllMeetings"
"","139","Update an existing Meeting","","Wed Aug 13 15:39:51 GMT 2025","passed","Wed Aug 13 15:39:51 GMT 2025","","doodle.qa.api.regression.tests.CalendarApiTest","doodle.qa.api.regression.tests.CalendarApiTest","updateMeeting"
"","65","Create a New Meeting with Invalid User Id","","Wed Aug 13 15:39:51 GMT 2025","passed","Wed Aug 13 15:39:51 GMT 2025","","doodle.qa.api.regression.tests.CalendarApiTest","doodle.qa.api.regression.tests.CalendarApiTest","createNewMeetingWithInvalidUser"
"","64","Get User By Invalid UserId","","Wed Aug 13 15:39:49 GMT 2025","passed","Wed Aug 13 15:39:49 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","getUserByInvalidId"
"","347","Create a New Meeting","","Wed Aug 13 15:39:50 GMT 2025","passed","Wed Aug 13 15:39:51 GMT 2025","","doodle.qa.api.regression.tests.CalendarApiTest","doodle.qa.api.regression.tests.CalendarApiTest","createNewMeeting"
"","24","Create User with Empty name field","","Wed Aug 13 15:39:50 GMT 2025","passed","Wed Aug 13 15:39:50 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","createNewUserWithNoName"
"","88","Add Calendar to a User","","Wed Aug 13 15:39:49 GMT 2025","passed","Wed Aug 13 15:39:50 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","addCalendarToUser"
"","99","Get User By User Id","","Wed Aug 13 15:39:49 GMT 2025","passed","Wed Aug 13 15:39:49 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","getUserById"
"","112","Get All Users","","Wed Aug 13 15:39:50 GMT 2025","passed","Wed Aug 13 15:39:50 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","getAllUsers"
"","87","Get a New Meeting By Id","","Wed Aug 13 15:39:51 GMT 2025","passed","Wed Aug 13 15:39:51 GMT 2025","","doodle.qa.api.regression.tests.CalendarApiTest","doodle.qa.api.regression.tests.CalendarApiTest","getMeetingById"
"","179","Create User with Chinese characters","","Wed Aug 13 15:39:50 GMT 2025","passed","Wed Aug 13 15:39:50 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","createNewUserWithChineseCharacters"
"","76","Remove Calendar From a User","","Wed Aug 13 15:39:50 GMT 2025","passed","Wed Aug 13 15:39:50 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","deleteCalendarFromUser"
"","43","Delete a Meeting","","Wed Aug 13 15:39:51 GMT 2025","passed","Wed Aug 13 15:39:51 GMT 2025","","doodle.qa.api.regression.tests.CalendarApiTest","doodle.qa.api.regression.tests.CalendarApiTest","deleteMeeting"
"","30","Create User with Invalid Email","","Wed Aug 13 15:39:50 GMT 2025","passed","Wed Aug 13 15:39:50 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","createNewUserWithInvalidEmail"
"","157","Update User","","Wed Aug 13 15:39:49 GMT 2025","passed","Wed Aug 13 15:39:49 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","updateUser"
"","1402","Create User","","Wed Aug 13 15:39:48 GMT 2025","passed","Wed Aug 13 15:39:49 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","createNewUser"
"","52","Get a Meeting By Invalid MeetingId","","Wed Aug 13 15:39:51 GMT 2025","passed","Wed Aug 13 15:39:51 GMT 2025","","doodle.qa.api.regression.tests.CalendarApiTest","doodle.qa.api.regression.tests.CalendarApiTest","getMeetingByInvalidId"
"","62","Delete a User","","Wed Aug 13 15:39:50 GMT 2025","passed","Wed Aug 13 15:39:50 GMT 2025","","doodle.qa.api.regression.tests.UserApiTest","doodle.qa.api.regression.tests.UserApiTest","deleteUser"
